;V1
07605-2020-CR.txt;3
07606-2020-CR.txt;7
07607-2020-CR.txt;9
07608-2020-CR.txt;9
07609-2020-CR.txt;6
07610-2020-CR.txt;3
07611-2020-CR.txt;4
07612-2020-CR.txt;6
07613-2020-CR.txt;3
07614-2020-CR.txt;3
07615-2020-CR.txt;1
07616-2020-CR.txt;10
07617-2020-CR.txt;7
07618-2020-CR.txt;5
07619-2020-CR.txt;1
07620-2020-CR.txt;5
07621-2020-CR.txt;3
07622-2020-CR.txt;1
07623-2020-CR.txt;9
07624-2020-CR.txt;3
07625-2020-CR.txt;7
07626-2020-CR.txt;9
07627-2020-CR.txt;5
07628-2020-CR.txt;3
07629-2020-CR.txt;7
07630-2020-CR.txt;9
07631-2020-CR.txt;3
07632-2020-CR.txt;10
07633-2020-CR.txt;4
07634-2020-CR.txt;9
07635-2020-CR.txt;9
07636-2020-CR.txt;10
07637-2020-CR.txt;8
07638-2020-CR.txt;8
07639-2020-CR.txt;2
07640-2020-PE.txt;2
07641-2020-PE.txt;2
07642-2020-CR.txt;1
07643-2020-CR.txt;1
07644-2020-CR.txt;3
07645-2020-CR.txt;4
07646-2020-CR.txt;8
07647-2020-CR.txt;4
07648-2020-CR.txt;9
07649-2020-CR.txt;10
07650-2020-CR.txt;4
07651-2020-CR.txt;6
07652-2020-CR.txt;4
07653-2020-CR.txt;9
07654-2020-CR.txt;1
07655-2020-CR.txt;2
07656-2020-CR.txt;6
07657-2020-CR.txt;2
07658-2020-CR.txt;9
07659-2020-CR.txt;9
07660-2020-CR.txt;6
07661-2020-CR.txt;8
07662-2020-CR.txt;3
07663-2020-CR.txt;8
07664-2020-PE.txt;7
07665-2020-CR.txt;9
07666-2020-CR.txt;2
07667-2020-CR.txt;3
07668-2020-CR.txt;4
07669-2020-CR.txt;8
07670-2020-CR.txt;4
07671-2020-CR.txt;1
07672-2020-CR.txt;1
07673-2020-CR.txt;10
07674-2020-CR.txt;9
07675-2020-CR.txt;4
07676-2020-CR.txt;4
07677-2020-CR.txt;4
07678-2020-CR.txt;9
07679-2020-CR.txt;4
07680-2020-CGR.txt;8
07681-2020-CR.txt;1
07682-2020-CR.txt;2
07683-2020-CR.txt;4
07684-2020-CR.txt;10
07685-2020-CR.txt;10
07686-2020-CR.txt;4
07687-2020-CR.txt;4
07688-2020-CR.txt;4
07689-2020-CR.txt;7
07690-2020-CR.txt;1
07691-2020-CR.txt;9
07692-2020-CR.txt;10
07693-2020-CR.txt;3
07694-2020-JNE.txt;9
07695-2020-PE.txt;4
07696-2020-CR.txt;4
07697-2020-CR.txt;1
07698-2020-PE.txt;2
07699-2020-CR.txt;6
07700-2020-CR.txt;1
07701-2020-CR.txt;2
07702-2020-CR.txt;1
07703-2020-CR.txt;2
07704-2020-CR.txt;4
